140,3021; 106,357; 23,2946
158,9794; 110,8009; 35,6637
132,6246; 103,9062; 18,0849
83,9454; 62,5829; 11,3985
97,6987; 77,1308; 9,074
137,3483; 113,0341; 11,2428
112,7855; 90,4366; 10,8078
126,8267; 98,9307; 12,1154
124,893; 100,164; 15,1727
156,2882; 109,9886; 30,6457
170,6047; 146,632; 12,8099
132,357; 101,0622; 17,7248
122,516; 91,2864; 15,4197
147,1557; 97,9423; 33,3365
87,9198; 74,4475; 4,6528
122,2186; 98,0311; 10,9637
192,9459; 131,6793; 30,9164
134,7083; 83,0529; 37,4257
142,5191; 79,6072; 47,1412
84,66; 50,0519; 11,7629
210,1673; 125,1136; 30,2133
135,4868; 60,4745; 36,4535
116,251; 65,2924; 38,4764
86,9812; 66,5871; 5,8865
213,9331; 103,4729; 55,7482
131,9075; 64,3227; 25,6652
284,3775; 167,1118; 55,6393
285,0761; 127,8655; 28,9576
219,9775; 151,2716; 21,4052
177,8127; 99,6167; 25,3897
182,0719; 97,7013; 34,8694
149,844; 103,8426; 30,6584
178,0885; 135,0673; 32,5677
73,2122; 37,1677; 30,7862
146,926; 128,285; 10,0354
115,796; 71,8225; 35,4444
144,7696; 124,2978; 8,3663
142,94; 124,5444; 10,21
90,2329; 73,3346; 9,94
